@attribute mfcc_sma[12]_percentile1.0 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute lspFreq_sma[7]_quartile1 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute F0final_sma_quartile1 numeric
@attribute pcm_loudness_sma_linregerrA numeric
@attribute pcm_loudness_sma_skewness numeric
@attribute mfcc_sma[1]_iqr2-3 numeric
@attribute gender {m,f}

@data

13.91244,0.084297,8.354328,0.810839,2.274273,105.5683,115.9192,0.077465,30.77322,0.052616,113.2539,121.7706,127.399,0.088028,7.320441,4.811453,-6.711716,123.1925,0.024405,-0.01003,0.355634,11.58205,-8.060649,0.52825,2.262279,136.8014,99.66759,153.1436,4.661195,-16.41124,-39.16381,-8.053955,2.258123,2.217566,151.1727,82.27921,0.067243,0.287446,4.293454,m
16.51785,0.064732,13.17894,1.70991,2.295285,114.9689,138.1774,0.051948,20.96809,-0.374987,104.1776,142.0715,157.0079,0.025974,2.906638,7.802868,-2.45323,119.2356,0.020463,-0.010966,0.435065,12.09262,-0.812479,0.521139,2.36461,157.0975,153.0621,192.6689,4.136092,-25.43435,-25.42919,-5.65773,2.300638,2.232642,192.1165,67.16882,0.227023,3.374592,4.673711,m
11.29989,0.107416,14.70843,0.786866,2.307333,194.664,192.103,0.227848,12.04403,-0.806369,186.2502,216.2625,227.2595,0.206751,-12.36113,-5.453893,8.667754,209.3276,0.018684,-0.010628,0.662447,14.17393,-1.712998,0.508525,2.29127,226.3854,150.8419,256.3568,3.478112,-35.93145,-25.63551,-17.59886,2.299872,2.283951,251.5916,182.5777,0.112723,0.082165,4.006848,f
18.16054,0.08727,12.05867,0.569282,2.273257,156.9322,175.6628,0.09319,19.62003,-0.49246,165.8836,180.3854,186.7779,0.071685,-6.287066,-10.1331,3.951501,178.5341,0.024646,-0.010313,0.530466,6.709741,3.543172,0.545168,2.26193,190.0009,168.3694,208.6151,-2.868251,-30.73886,-17.97643,-10.07317,2.265579,2.219666,207.3912,131.3236,0.086633,0.415953,5.728911,f
16.2953,0.490132,13.63881,-0.568198,2.276242,183.9652,203.5804,0.115242,12.39872,-0.529384,186.6566,204.0639,217.2881,0.055762,-14.32474,-22.23155,-4.986792,220.2484,0.01162,-0.012986,0.423792,7.791223,-0.666706,0.472374,2.223281,243.9354,227.0212,306.3878,0.63337,-39.71542,-22.09759,-10.96948,2.259337,2.223771,321.2153,136.1477,0.164556,1.085971,5.577622,f
16.61065,0.306434,10.29571,0.088391,2.266949,188.685,197.0385,0.099617,8.253206,-0.711999,197.9867,215.4204,250.9627,0.042146,-11.30837,-12.33061,4.127843,228.6481,0.01193,-0.019199,0.35249,-3.324459,0.162747,0.473785,2.254446,256.1979,165.8453,308.8549,-13.02944,-34.0447,-23.03588,-16.85364,2.25228,2.213804,293.2639,131.7104,0.165897,-0.062671,4.368214,f
18.91325,0.504364,9.698782,1.127595,2.289636,108.1209,118.5828,0.033962,21.66241,-0.524223,126.797,137.2005,140.6436,0.030189,2.761429,-0.36139,-3.414651,135.385,0.014859,-0.005933,0.411321,17.27168,-1.842583,0.513277,2.26095,141.1037,115.2253,157.605,10.56783,-16.97638,-25.4911,-9.262473,2.27037,2.22936,155.4845,87.86166,0.117296,0.554091,3.857934,m
16.99608,0.419311,9.383087,0.73368,2.242704,96.06447,98.09648,0.06746,22.31155,-0.267659,124.6837,135.291,127.3801,0.027778,-3.505457,-6.958913,-3.391291,134.0145,0.017084,-0.009863,0.412698,13.23595,-2.282982,0.523212,2.264316,143.653,104.0687,156.4928,6.84518,-19.88205,-23.00546,-5.551373,2.230822,2.194158,152.1444,51.43105,0.138058,0.273932,3.147114,m
15.97864,0.173356,10.09509,0.256861,2.159447,97.81402,109.8784,0.08547,34.52104,0.252535,111.7492,122.1007,118.684,0.07265,10.1089,7.080298,-6.573425,116.4274,0.025734,-0.012744,0.384615,2.602934,-9.570381,0.51018,2.195651,138.9032,107.9931,171.3091,-2.956805,-10.55775,-32.73092,1.432841,2.187521,2.119438,167.18,74.00879,0.093836,0.948051,4.767493,m
11.61938,0.176902,4.880638,2.050317,2.174821,105.1392,126.3712,0.139785,23.7388,0.629588,134.4643,134.9909,135.6533,0.039427,5.366309,8.449692,-12.62143,136.1111,0.026987,-0.011105,0.648746,11.00467,-10.69381,0.5548,2.151373,140.8472,95.71611,147.653,4.235717,-14.22522,-29.30701,2.962459,2.18117,2.088091,146.9963,85.77363,0.080469,0.853384,3.245128,m
