@attribute F0finEnv_sma_de_linregc2 numeric
@attribute lspFreq_sma_de[5]_linregerrQ numeric
@attribute F0finEnv_sma_percentile1.0 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute F0finEnv_sma_de_linregerrQ numeric
@attribute F0final_sma_de_linregerrQ numeric
@attribute mfcc_sma[12]_amean numeric
@attribute F0final_sma_de_stddev numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute gender {m,f}

@data

105.5683,127.399,121.7706,115.9192,123.1925,136.8014,82.27921,113.2539,40.26507,151.1727,0.760483,99.66759,119.9666,153.1436,34.80983,4.811453,1199.968,30.77322,7.320441,-1.543447,0.760483,0.024405,6.894836,0.66922,0.730042,2.274273,-3.380499,-16.41124,16.14933,0.032888,1.812086,0.00108,0,2.258123,11.80829,369.8118,-8.060649,19.29449,-8.053955,m
114.9689,157.0079,142.0715,138.1774,119.2356,157.0975,67.16882,104.1776,45.34467,192.1165,0.778139,153.0621,89.03405,192.6689,49.65141,7.802868,1973.827,20.96809,2.906638,-4.853892,0.778139,0.020463,3.453447,0.47344,0.712921,2.295285,1.162107,-25.43435,11.07593,0.02946,1.894667,0.000868,0,2.300638,30.36635,380.964,-0.812479,19.60514,-5.65773,m
194.664,227.2595,216.2625,192.103,209.3276,226.3854,182.5777,186.2502,61.92822,251.5916,0.840068,150.8419,181.8377,256.3568,46.30715,-5.453893,1496.42,12.04403,-12.36113,-19.50044,0.840068,0.018684,-12.92986,0.784471,0.810409,2.307333,-4.276045,-35.93145,-4.000047,0.028021,2.030747,0.000779,166.2406,2.299872,13.08643,517.1525,-1.712998,22.8989,-17.59886,f
156.9322,186.7779,180.3854,175.6628,178.5341,190.0009,131.3236,165.8836,52.5019,207.3912,0.821137,168.3694,194.8809,208.6151,45.06274,-10.1331,1986.569,19.62003,-6.287066,-13.58986,0.821137,0.024646,-7.79282,0.718,0.762098,2.273257,-9.548922,-30.73886,0.347907,0.033814,1.719558,0.001143,151.5149,2.265579,11.31635,632.4214,3.543172,25.19313,-10.07317,f
183.9652,217.2881,204.0639,203.5804,220.2484,243.9354,136.1477,186.6566,68.80125,321.2153,0.80849,227.0212,288.7647,306.3878,63.3286,-22.23155,3381.336,12.39872,-14.32474,-23.47457,0.78754,0.01162,-14.92151,0.614724,0.726443,2.276242,-4.624249,-39.71542,-4.236925,0.015399,1.975075,0.000237,173.5112,2.259337,33.20664,1125.47,-0.666706,33.60773,-10.96948,f
188.685,250.9627,215.4204,197.0385,228.6481,256.1979,131.7104,197.9867,79.42587,293.2639,0.807207,165.8453,219.8374,308.8549,69.91656,-12.33061,4711.787,8.253206,-11.30837,-18.19558,0.604879,0.01193,-10.52003,0.659758,0.734859,2.266949,-16.87141,-34.0447,-4.335389,0.015402,2.862949,0.000237,168.4275,2.25228,20.05756,1285.197,0.162747,35.87592,-16.85364,f
108.1209,140.6436,137.2005,118.5828,135.385,141.1037,87.86166,126.797,39.21815,155.4845,0.743161,115.2253,132.9054,157.605,36.30286,-0.36139,1300.7,21.66241,2.761429,-5.727274,0.63757,0.014859,1.087015,0.634494,0.699282,2.289636,-2.666251,-16.97638,10.52856,0.020452,1.139627,0.000415,120.2655,2.27037,7.601709,449.2803,-1.842583,21.2671,-9.262473,m
96.06447,127.3801,135.291,98.09648,134.0145,143.653,51.43105,124.6837,39.29209,152.1444,0.770248,104.0687,133.9738,156.4928,38.14031,-6.958913,1432.928,22.31155,-3.505457,-11.61463,0.51982,0.017084,-4.425277,0.666654,0.706531,2.242704,-2.953553,-19.88205,3.159506,0.022254,1.506283,0.000495,115.6033,2.230822,5.715384,493.718,-2.282982,22.2419,-5.551373,m
97.81402,118.684,122.1007,109.8784,116.4274,138.9032,74.00879,111.7492,39.43076,167.18,0.7536,107.9931,108.8323,171.3091,38.59418,7.080298,1454.402,34.52104,10.1089,1.767192,0.7536,0.025734,8.912182,0.666741,0.720273,2.159447,4.935619,-10.55775,17.46216,0.034517,1.982806,0.001179,0,2.187521,21.05756,363.5014,-9.570381,19.12325,1.432841,m
105.1392,135.6533,134.9909,126.3712,136.1111,140.8472,85.77363,134.4643,37.77303,146.9963,0.764829,95.71611,135.3348,147.653,36.6946,8.449692,1316.326,23.7388,5.366309,0.099485,0.764829,0.026987,5.24218,0.648216,0.704345,2.174821,8.03899,-14.22522,10.57175,0.034598,2.002952,0.001196,81.12409,2.18117,12.98776,511.9413,-10.69381,22.63524,2.962459,m
